date,sp500,ftse,dax
2015-04-21,7062.89990234375,11939.580078125,2097.2900390625
2015-04-22,7028.2001953125,11867.3701171875,2107.9599609375
2015-04-23,7053.7001953125,11723.580078125,2112.929931640625
2015-04-24,7070.7001953125,11810.849609375,2117.68994140625
2015-04-27,7104.0,12039.16015625,2108.919921875
2015-04-28,7030.5,11811.66015625,2114.760009765625
2015-04-29,6946.2998046875,11432.7197265625,2106.85009765625
2015-04-30,6960.60009765625,11454.3798828125,2085.510009765625
2015-05-05,6927.60009765625,11327.6796875,2089.4599609375
2015-05-06,6933.7001953125,11350.150390625,2080.14990234375
2015-05-07,6887.0,11407.9697265625,2088.0
2015-05-08,7046.7998046875,11709.73046875,2116.10009765625
2015-05-11,7029.89990234375,11673.349609375,2105.330078125
2015-05-12,6933.7998046875,11472.41015625,2099.1201171875
2015-05-13,6949.60009765625,11351.4599609375,2098.47998046875
2015-05-14,6973.0,11559.8203125,2121.10009765625
2015-05-15,6960.5,11447.0302734375,2122.72998046875
2015-05-18,6968.89990234375,11594.2802734375,2129.199951171875
2015-05-19,6995.10009765625,11853.330078125,2127.830078125
2015-05-20,7007.2998046875,11848.4697265625,2125.85009765625
2015-05-21,7013.5,11864.58984375,2130.820068359375
2015-05-22,7031.7001953125,11815.009765625,2126.06005859375
2015-05-26,6949.0,11625.1298828125,2104.199951171875
2015-05-27,7033.2998046875,11771.1298828125,2123.47998046875
2015-05-28,7040.89990234375,11677.5703125,2120.7900390625
2015-05-29,6984.39990234375,11413.8203125,2107.389892578125
2015-06-01,6953.60009765625,11436.0498046875,2111.72998046875
2015-06-02,6928.2998046875,11328.7998046875,2109.60009765625
2015-06-03,6950.5,11419.6201171875,2114.070068359375
2015-06-04,6859.2001953125,11340.599609375,2095.840087890625
2015-06-05,6804.60009765625,11197.150390625,2092.830078125
2015-06-08,6790.0,11064.919921875,2079.280029296875
2015-06-09,6753.7998046875,11001.2900390625,2080.14990234375
2015-06-10,6830.2998046875,11265.3896484375,2105.199951171875
