date,spx,dax,ftse,nikkei
2024-01-11,4780.240234375,16547.029296875,7576.60009765625,35049.859375
2024-01-12,4783.830078125,16704.560546875,7624.89990234375,35577.109375
2024-01-15,,16622.220703125,7594.89990234375,35901.7890625
2024-01-16,4765.97998046875,16571.6796875,7558.2998046875,35619.1796875
2024-01-17,4739.2099609375,16431.689453125,7446.2998046875,35477.75
2024-01-18,4780.93994140625,16567.349609375,7459.10009765625,35466.171875
2024-01-19,4839.81005859375,16555.130859375,7461.89990234375,35963.26953125
2024-01-22,4850.43017578125,16683.359375,7487.7001953125,36546.94921875
2024-01-23,4864.60009765625,16627.08984375,7485.7001953125,36517.5703125
2024-01-24,4868.5498046875,16889.919921875,7527.7001953125,36226.48046875
2024-01-25,4894.16015625,16906.919921875,7529.7001953125,36236.46875
2024-01-26,4890.97021484375,16961.390625,7635.10009765625,35751.0703125
2024-01-29,4927.93017578125,16941.7109375,7632.7001953125,36026.94140625
2024-01-30,4924.97021484375,16972.33984375,7666.2998046875,36065.859375
2024-01-31,4845.64990234375,16903.759765625,7630.60009765625,36286.7109375
2024-02-01,4906.18994140625,16859.0390625,7622.2001953125,36011.4609375
2024-02-02,4958.60986328125,16918.2109375,7615.5,36158.01953125
2024-02-05,4942.81005859375,16904.060546875,7612.89990234375,36354.16015625
2024-02-06,4954.22998046875,17033.240234375,7681.0,36160.66015625
2024-02-07,4995.06005859375,16921.9609375,7628.7998046875,36119.921875
2024-02-08,4997.91015625,16963.830078125,7595.5,36863.28125
2024-02-09,5026.60986328125,16926.5,7572.60009765625,36897.421875
2024-02-12,5021.83984375,17037.349609375,7573.7001953125,
2024-02-13,4953.169921875,16880.830078125,7512.2998046875,37963.96875
2024-02-14,5000.6201171875,16945.48046875,7568.39990234375,37703.3203125
2024-02-15,5029.72998046875,17046.689453125,7597.5,38157.94140625
2024-02-16,5005.56982421875,17117.439453125,7711.7001953125,38487.23828125
2024-02-19,,17092.259765625,7728.5,38470.37890625
2024-02-20,4975.509765625,17068.4296875,7719.2001953125,38363.609375
2024-02-21,4981.7998046875,17118.119140625,7662.5,38262.16015625
2024-02-22,5087.02978515625,17370.44921875,7684.5,39098.6796875
2024-02-23,5088.7998046875,17419.330078125,7706.2998046875,
2024-02-26,5069.52978515625,17423.23046875,7684.2998046875,39233.7109375
2024-02-27,5078.18017578125,17556.490234375,7683.0,39239.51953125
2024-02-28,5069.759765625,17601.220703125,7625.0,39208.03125
2024-02-29,5096.27001953125,17678.189453125,7630.0,39166.19140625
2024-03-01,5137.080078125,17735.0703125,7682.5,39910.8203125
2024-03-04,5130.9501953125,17716.169921875,7640.2998046875,40109.23046875
2024-03-05,5078.64990234375,17698.400390625,7646.2001953125,40097.62890625
2024-03-06,5104.759765625,17716.7109375,7679.2998046875,40090.78125
2024-03-07,5157.35986328125,17842.849609375,7692.5,39598.7109375
2024-03-08,5123.68994140625,17814.509765625,7659.7001953125,39688.94140625
2024-03-11,5117.93994140625,17746.26953125,7669.2001953125,38820.48828125
2024-03-12,5175.27001953125,17965.109375,7747.7998046875,38797.51171875
2024-03-13,5165.31005859375,17961.380859375,7772.2001953125,38695.96875
2024-03-14,5150.47998046875,17942.0390625,7743.2001953125,38807.37890625
2024-03-15,5117.08984375,17936.650390625,7727.39990234375,38707.640625
2024-03-18,5149.419921875,17932.6796875,7722.60009765625,39740.44140625
2024-03-19,5178.509765625,17987.490234375,7738.2998046875,40003.6015625
2024-03-20,5224.6201171875,18015.130859375,7737.39990234375,
2024-03-21,5241.52978515625,18179.25,7882.60009765625,40815.66015625
2024-03-22,5234.18017578125,18205.939453125,7930.89990234375,40888.4296875
2024-03-25,5218.18994140625,18261.310546875,7917.60009765625,40414.12109375
2024-03-26,5203.580078125,18384.349609375,7931.0,40398.03125
